city,station,lng,lat
上海市,普陀,121.4,31.238
上海市,十五厂,121.478,31.2036
上海市,虹口,121.467,31.3008
上海市,徐汇上师大,121.412,31.1654
上海市,杨浦四漂,121.536,31.2659
上海市,青浦淀山湖,120.978,31.0935
上海市,静安监测站,121.425,31.2261
上海市,浦东川沙,121.703,31.1907
上海市,浦东新区监测站,121.533,31.2284
上海市,浦东张江,121.577,31.2071
昆明市,呈贡新区,102.821,24.8885
昆明市,西山森林公园(对照点),102.625,24.9624
昆明市,龙泉镇,102.728,25.0836
昆明市,东风东路,102.722,25.0405
昆明市,金鼎山,102.681,25.067
昆明市,碧鸡广场,102.638,25.0359
昆明市,官渡区博物馆（180930启用）,102.749,25.0119
曲靖市,环境监测站,103.7897,25.5035
曲靖市,烟厂办公区,103.8,25.5364
玉溪市,东风水库,102.5778,24.3694
玉溪市,玉溪一中,102.5389,24.3702
玉溪市,文体中心,102.5381,24.339
保山市,市环境监测站,99.1678,25.1081
保山市,市环保局,99.1711,25.1328
昭通市,监测站,103.7032,27.3392
昭通市,环保局,103.7225,27.3361
丽江市,西南郊,100.2143,26.8576
丽江市,丽江古城,100.2497,26.8802
丽江市,市中心,100.2203,26.8906
普洱市,市环保局,100.98,22.7633
普洱市,普洱第二中学,100.9817,22.8322
临沧市,市环保局,100.0869,23.8822
临沧市,市气象局,100.0782,23.8982
楚雄州,州环境监测站,101.5482,25.0441
楚雄州,市经济开发区,101.538,25.0492
红河州,污水处理厂,103.3772,23.3993
红河州,监测站,103.386,23.4168
红河州,州图书馆,103.3758,23.3682
文山州,州水务局,104.2533,23.3594
文山州,市便民服务中心,104.2319,23.3892
西双版纳州,景洪市江南,100.7939,22.0019
西双版纳州,景洪市江北,100.8017,22.0225
大理州,大理市环境监测站,100.1542,25.7054
大理州,大理古城,100.2171,25.5811
德宏州,德宏州监测站,98.5842,24.428
德宏州,芒市建设局,98.578,24.441
怒江州,州监测站,98.8601,25.8567
怒江州,泸水一中,98.8546,25.8417
迪庆州,迪庆州站,99.7056,27.8317
迪庆州,质量技术监督局（20180930启用）,99.7136,27.8094
呼和浩特市,呼市一监,111.651,40.7579
呼和浩特市,小召,111.658,40.8033
呼和浩特市,兴松小区,111.659,40.8452
呼和浩特市,糖厂,111.608,40.8144
呼和浩特市,如意水处理厂,111.751,40.8369
呼和浩特市,二十九中,111.7277,40.8062
呼和浩特市,工大金川校区,111.551,40.7866
呼和浩特市,化肥厂生活区,111.717,40.7612
包头市,市环境监测站,109.8756,40.6532
包头市,包百大楼,109.8104,40.6575
包头市,东河城环局,110.0067,40.5905
包头市,青山宾馆,109.8538,40.6821
包头市,惠龙物流,109.8654,40.6288
包头市,东河鸿龙湾,110.0377,40.5546
乌海市,聚英学校,106.8219,39.6719
乌海市,市林业局,106.8089,39.6969
乌海市,中海勃湾学校,106.7931,39.6572
赤峰市,松山一中,118.9233,42.2814
赤峰市,哈达街,118.9572,42.2725
赤峰市,天义路,118.8789,42.2556
赤峰市,银河街,119.2654,42.0352
通辽市,通辽宾馆,122.2603,43.6267
通辽市,胶建铝业,122.3039,43.6156
通辽市,艺术职业学校,122.2532,43.6801
鄂尔多斯市,综合楼,110.0023,39.8129
鄂尔多斯市,巴音孟克林场办事处,109.9486,39.8261
鄂尔多斯市,康泽苑,109.7736,39.5986
鄂尔多斯市,华泰汽车城,109.8119,39.5989
鄂尔多斯市,奥林花园,109.9734,39.7884
呼伦贝尔市,区环保局,119.7594,49.2261
呼伦贝尔市,国华电力东,119.7512,49.1577
巴彦淖尔市,秋林养殖基地,107.5936,40.916
巴彦淖尔市,附中,107.4211,40.7608
巴彦淖尔市,市环保大楼,107.3715,40.7378
乌兰察布市,集宁新区,113.1306,40.9923
乌兰察布市,光明街小学,113.1076,41.0385
兴安盟,盟监测站,122.062,46.0872
兴安盟,胜华新制药厂,122.0506,46.0703
兴安盟,科右前旗环保局,121.9462,46.0756
兴安盟,北滨河,122.0931,46.0707
锡林郭勒盟,市环保监测站,116.1042,43.9317
锡林郭勒盟,市政府,116.0781,43.9311
阿拉善盟,体育场,105.6775,38.8343
阿拉善盟,盟环保楼,105.6975,38.843
阿拉善盟,环保局新楼,105.724,38.8516
北京市,万寿西宫,116.366,39.8673
北京市,定陵,116.17,40.2865
北京市,东四,116.434,39.9522
北京市,天坛,116.434,39.8745
北京市,农展馆,116.473,39.9716
北京市,官园,116.361,39.9425
北京市,海淀区万柳,116.315,39.9934
北京市,顺义新城,116.72,40.1438
北京市,怀柔镇,116.644,40.3937
北京市,昌平镇,116.23,40.1952
北京市,奥体中心,116.407,40.0031
北京市,古城,116.225,39.9279
长春市,食品厂,125.323,43.9167
长春市,客车厂,125.287,43.91
长春市,邮电学院,125.2786,43.84
长春市,劳动公园,125.3649,43.8748
长春市,园林处,125.325,43.8694
长春市,净月潭,125.454,43.7878
长春市,甩湾子,125.633,43.55
长春市,经开区环卫处,125.417,43.8667
长春市,高新区管委会,125.25,43.8167
长春市,岱山公园,125.217,43.85
吉林市,哈达湾,126.555,43.8875
吉林市,东局子,126.5844,43.8358
吉林市,电力学院,126.4978,43.8228
吉林市,江北,126.5786,43.8947
吉林市,江南公园,126.55,43.8256
吉林市,丰满,126.6772,43.7256
吉林市,九站,126.4738889,43.95305556
四平市,监测站,124.3419,43.1747
四平市,一商场,124.3711,43.1594
四平市,境园,124.3897,43.1847
辽源市,环保局,125.1358,42.8947
辽源市,污水处理厂,125.1567,42.8953
通化市,光明,125.9361,41.7156
通化市,铁路,125.9486,41.7381
白山市,喜丰,126.4047,41.9206
白山市,环保局,126.4078,41.9419
松原市,江南,124.8292,45.0878
松原市,江北,124.8528,45.1642
白城市,洮北区环保局,122.8444,45.6289
白城市,市环保局,122.8211,45.6175
延边州,妇幼医院,129.4892,42.8939
延边州,延边医院,129.5042,42.9061
延边州,朝阳川镇医院,129.3675,42.8775
成都市,金泉两河,103.97275,30.72358333
成都市,十里店,104.176,30.6872
