site,latitude,longitude
AREQ00PER,-16.4655170,-71.4927967
ARTU00RUS,56.4298222,58.5604528
ASC100SHN,-7.9512139,-14.4120722
BADG00RUS,51.7697056,102.2349806
BAHR00BHR,26.2091000,50.6081000
CHAT00NZL,-43.9558000,-176.5658000
CHPI00BRA,-22.6871444,-44.9851583
CKIS00COK,-21.2009361,-159.8006167
COCO00AUS,-12.1883000,96.8339000
CRO100VIR,17.7568995,-64.5843186
DAEJ00KOR,36.3994000,127.3745000
DARW00AUS,-12.8437107,131.1327357
DAV100ATA,-68.5773000,77.9726000
DRAO00CAN,49.3226000,-119.6250000
FAIR00USA,64.9779983,-147.4992396
GLPS00ECU,-0.7429986,-90.3036686
GODE00USA,39.0217276,-76.8268305
GOUG00SHN,-40.3488316,-9.8807144
GUAM00GUM,13.5893000,144.8683000
HOLM00CAN,70.7364000,-117.7609000
HRAO00ZAF,-25.8901056,27.6869806
IISC00IND,13.0211659,77.5703759
ISPA00CHL,-27.1249829,-109.3444100
KELY00GRL,66.9874167,-50.9448361
KERG00ATF,-49.3514669,70.2555239
KIRU00SWE,67.8573000,20.9684000
KOKB00USA,22.1262638,-159.6649298
KOUR00GUF,5.2522000,-52.8060000
MAC100AUS,-54.4995000,158.9358000
MAL200KEN,-2.9960000,40.1940000
MAS100ESP,27.7637000,-15.6333000
MATE00ITA,40.6491000,16.7045000
MCIL00JPN,24.2900944,153.9786611
MCM400ATA,-77.8383495,166.6693293
MKEA00USA,19.8013566,-155.4563453
MOBS00AUS,-37.8294054,144.9753402
NAUR00NRU,-0.5518397,166.9255500
NKLG00GAB,0.3539077,9.6721263
NOUM00FRA,-22.2699000,166.4102000
OHI300ATA,-63.3210947,-57.9013853
PARC00CHL,-53.1370000,-70.8799000
PERT00AUS,-31.8019000,115.8852000
POL200KGZ,42.6798000,74.6943000
REUN00REU,-21.2083333,55.5716667
SANT00CHL,-33.1502878,-70.6685535
STJO00CAN,47.5952389,-52.6777472
SUTH00ZAF,-32.3802108,20.8104623
THTI00PYF,-17.5770584,-149.6064450
TNML00TWN,24.7979549,120.9873441
VESL00ATA,-71.6738000,-2.8417000
VNDP00USA,34.5563111,-120.6164500
