site,latitude,longitude
ABMF00GLP,16.2623056,-61.5275306
AGGO00ARG,-34.8737083,-58.1398611
AIRA00JPN,31.8240611,130.5995917
AJAC00FRA,41.9274528,8.7626111
ALGO00CAN,45.9588000,-78.0714000
ALIC00AUS,-23.6701239,133.8855132
ANKR00TUR,39.8875111,32.7585778
ANMG00MYS,2.7846483,101.5066022
AREG00PER,-16.4654233,-71.4929041
ARHT00ATA,-77.8294361,166.6636528
ARUC00ARM,40.2857222,44.0855833
ASCG00SHN,-7.9162810,-14.3326645
AUCK00NZL,-36.6028000,174.8344000
AUT000USA,30.3954778,-97.7351583
BIK000KGZ,42.8541944,74.5331944
BOR100POL,52.2769556,17.0734583
BRAZ00BRA,-15.9474000,-47.8778000
BRST00FRA,48.3804944,-4.4965972
BRUN00BRN,4.9711778,114.9523611
BRUX00BEL,50.7980611,4.3585611
BSHM00ISR,32.7790000,35.0200000
CAS100ATA,-66.2834000,110.5197000
CCJ200JPN,27.0675306,142.1950278
CEBR00ESP,40.4534278,-4.3678500
CEDU00AUS,-31.8666722,133.8098278
CHOF00JPN,35.6745444,139.5310569
CHPG00BRA,-22.6822731,-45.0023756
CHPI00BRA,-22.6871444,-44.9851583
CHTI00NZL,-43.7354750,-176.6171139
CIBG00IDN,-6.4903648,106.8491735
CKIS00COK,-21.2009361,-159.8006167
CKSV00TWN,22.9988528,120.2200083
CMUM00THA,18.7608750,98.9323778
COCO00AUS,-12.1883000,96.8339000
CONX00CHL,-36.8437611,-73.0254806
CONZ00CHL,-36.8437611,-73.0254806
CPNM00THA,10.7246500,99.3743778
CPVG00CPV,16.7320620,-22.9349330
CUT000AUS,-32.0038889,115.8948000
CUUT00THA,13.7359912,100.5339348
CZTG00ATF,-46.4318944,51.8554806
DAE200KOR,36.3994250,127.3744806
DAEJ00KOR,36.3994000,127.3745000
DARW00AUS,-12.8437107,131.1327357
DAV100ATA,-68.5773000,77.9726000
DJIG00DJI,11.5262876,42.8470645
DLF100NLD,51.9859861,4.3874667
DLTV00VNM,11.9450000,108.4820000
DUBO00CAN,50.2588000,-95.8662000
DUND00NZL,-45.8836750,170.5971750
DYNG00GRC,38.0785528,23.9324333
EBRE00ESP,40.8209000,0.4924000
EUSM00MYS,5.1455694,100.4940944
FAA100PYF,-17.5553139,-149.6143000
FALK00FLK,-51.6936522,-57.8740674
FFMJ00DEU,50.0905778,8.6649639
FTNA00WLF,-14.3078031,-178.1209457
GAMB00PYF,-23.1303547,-134.9648236
GAMG00KOR,35.5900706,127.9196603
GANP00SVK,49.0347111,20.3229306
GENO00ITA,44.4194000,8.9211000
GMSD00JPN,30.5564456,131.0155636
GOP600CZE,49.9136667,14.7856028
GOP700CZE,49.9136667,14.7856028
GRA200AUT,47.0671359,15.4934486
GRAB00AUT,47.0671359,15.4934486
GRAC00FRA,43.7544861,6.9207611
HAL100USA,20.7075056,-156.2561944
HARB00ZAF,-25.8869617,27.7072458
HKSL00HKG,22.3720047,113.9279813
HKWS00HKG,22.4342824,114.3353773
HOB200AUS,-42.8047181,147.4387321
HOFN00ISL,64.2672778,-15.1868056
HRAG00ZAF,-25.8904022,27.6851802
HUEG00DEU,47.8339444,7.5961667
IISC00IND,13.0211659,77.5703759
INEG00MEX,21.8561528,-102.2842028
ISTA00TUR,41.1044000,29.0193000
JCTW00ZAF,-33.9514333,18.4685500
JFNG00CHN,30.5155654,114.4910189
JNAV00VNM,21.0045853,105.8439469
JOG200IDN,-7.7638139,110.3724639
JPRE00ZAF,-25.7320250,28.2826333
KARR00AUS,-20.9814361,117.0971868
KAT100AUS,-14.3760093,132.1532681
KIR800SWE,67.8775417,21.0601778
KIRI00KIR,1.3545806,172.9228972
KIRU00SWE,67.8573000,20.9684000
KIT300UZB,39.1347667,66.8854500
KITG00UZB,39.1333864,66.8867382
KMNM00TWN,24.4638222,118.3885778
KOKV00USA,22.1262638,-159.6649298
KOS100NLD,52.1733556,5.8182250
KOUC00NCL,-20.5586972,164.2873333
KOUG00GUF,5.0984709,-52.6397502
KOUR00GUF,5.2522000,-52.8060000
KRGG00ATF,-49.3515430,70.2555059
KZN200RUS,55.7907833,49.1192444
LAUT00FJI,-17.6088056,177.4465833
LEIJ00DEU,51.3539722,12.3740833
LHAZ00CHN,29.6573306,91.1040222
LLAG00ESP,28.4816661,-16.3207178
LMMF00MTQ,14.5948163,-60.9961706
LPGS00ARG,-34.9067444,-57.9323000
